time[us],volt(fsr)[v],signal,signal frequency[Hz]
54691807,0,0,1000
54692167,0,0,1000
54692528,0,0,1000
54692888,0,0,1000
54693249,0,0,1000
54693609,0,0,1000
54693969,0,0,1000
54694330,0,0,1000
54694690,0,0,1000
54695051,0,0,1000
54695411,0,0,1000
54695771,0,0,1000
54696132,0,0,1000
54696492,0,0,1000
54696852,0,0,1000
54697213,0,0,1000
54697573,0,0,1000
54697934,0,0,1000
54698294,0,0,1000
54698654,0,0,1000
54699016,0,0,1000
54699375,0,0,1000
54699735,0,0,1000
54700096,0,0,1000
54700456,0,0,1000
54700817,0,0,1000
54701177,0,0,1000
54701537,0,0,1000
54701897,0,0,1000
54702256,0,0,1000
54702616,0,0,1000
54702977,0,0,1000
54703337,0,0,1000
54703698,0,0,1000
54704058,0,0,1000
54704418,0,0,1000
54704779,0,0,1000
54705139,0,0,1000
54705499,0,0,1000
54705860,0,0,1000
54706220,0,0,1000
54706581,0,0,1000
54706941,0,0,1000
54707301,0,0,1000
54707662,0,0,1000
54708021,0,0,1000
54708380,0,0,1000
54708741,0,0,1000
54709101,0,0,1000
54709462,0,0,1000
54709822,0,0,1000
54710182,0,0,1000
54710543,0,0,1000
54710903,0,0,1000
54711263,0,0,1000
54711624,0,0,1000
54711984,0,0,1000
54712345,0,0,1000
54712705,0,0,1000
54713065,0,0,1000
54713426,0,0,1000
54713786,0,0,1000
54714147,0,0,1000
54714507,0,0,1000
54714867,0,0,1000
54715228,0,0,1000
54715588,0,0,1000
54715948,0,0,1000
54716309,0,0,1000
54716669,0,0,1000
54717030,0,0,1000
54717390,0,0,1000
54717750,0,0,1000
54718111,0,0,1000
54718471,0,0,1000
54718831,0,0,1000
54719192,0,0,1000
54719552,0,0,1000
54719913,0,0,1000
54720272,0,0,1000
54720631,0,0,1000
54720992,0,0,1000
54721352,0,0,1000
54721712,0,0,1000
54722073,0,0,1000
54722433,0,0,1000
54722794,0,0,1000
54723154,0,0,1000
54723514,0,0,1000
54723875,0,0,1000
54724235,0,0,1000
54724595,0,0,1000
54724956,0,0,1000
54725316,0,0,1000
54725677,0,0,1000
54726037,0,0,1000
54726396,0,0,1000
54726756,0,0,1000
54727116,0,0,1000
54727476,0,0,1000
54727837,0,0,1000
54728197,0,0,1000
54728558,0,0,1000
54728918,0,0,1000
54729278,0,0,1000
54729639,0,0,1000
54730001,0,0,1000
54730362,0,0,1000
54730722,0,0,1000
54731082,0,0,1000
54731443,0,0,1000
54731803,0,0,1000
54732163,0,0,1000
54732524,0,0,1000
54732884,0,0,1000
54733245,0,0,1000
54733605,0,0,1000
54733965,0,0,1000
54734326,0,0,1000
54734686,0,0,1000
54735047,0,0,1000
54735407,0,0,1000
54735767,0,0,1000
54736128,0,0,1000
54736488,0,0,1000
54736848,0,0,1000
54737209,0,0,1000
54737569,0,0,1000
54737930,0,0,1000
54738290,0,0,1000
54738650,0,0,1000
54739013,0,0,1000
54739373,0,0,1000
54739734,0,0,1000
54740094,0,0,1000
54740454,0,0,1000
54740815,0,0,1000
54741175,0,0,1000
54741535,0,0,1000
54741896,0,0,1000
54742256,0,0,1000
54742617,0,0,1000
54742977,0,0,1000
54743337,0,0,1000
54743698,0,0,1000
54744058,0,0,1000
54744419,0,0,1000
54744779,0,0,1000
54745139,0,0,1000
54745500,0,0,1000
54745860,0,0,1000
54746220,0,0,1000
54746581,0,0,1000
54746941,0,0,1000
54747302,0,0,1000
54747662,0,0,1000
54748021,0,0,1000
54748381,0,0,1000
54748741,0,0,1000
54749101,0,0,1000
54749462,0,0,1000
54749822,0,0,1000
54750183,0,0,1000
54750543,0,0,1000
54750903,0,0,1000
54751264,0,0,1000
54751624,0,0,1000
54751984,0,0,1000
54752345,0,0,1000
54752705,0,0,1000
54753066,0,0,1000
54753426,0,0,1000
54753786,0,0,1000
54754147,0,0,1000
54754507,0,0,1000
54754867,0,0,1000
54755228,0,0,1000
54755588,0,0,1000
54755949,0,0,1000
54756309,0,0,1000
54756669,0,0,1000
54757030,0,0,1000
54757390,0,0,1000
54757751,0,0,1000
54758111,0,0,1000
54758471,0,0,1000
54758832,0,0,1000
54759192,0,0,1000
54759552,0,0,1000
54759913,0,0,1000
54760273,0,0,1000
54760634,0,0,1000
54760994,0,0,1000
54761354,0,0,1000
54761715,0,0,1000
54762075,0,0,1000
54762435,0,0,1000
54762796,0,0,1000
54763156,0,0,1000
54763517,0,0,1000
54763877,0,0,1000
54764237,0,0,1000
54764598,0,0,1000
54764958,0,0,1000
54765319,0,0,1000
54765679,0,0,1000
54766039,0,0,1000
54766400,0,0,1000
54766760,0,0,1000
54767120,0,0,1000
54767481,0,0,1000
54767841,0,0,1000
54768202,0,0,1000
54768562,0,0,1000
54768922,0,0,1000
54769283,0,0,1000
54769643,0,0,1000
54770005,0,0,1000
54770364,0,0,1000
54770724,0,0,1000
54771085,0,0,1000
54771445,0,0,1000
54771805,0,0,1000
54772166,0,0,1000
